m,h,default,person,no_person
1,0,100,80,20
1,1,100,80,20
1,2,100,80,20
1,3,100,80,20
1,4,100,80,20
1,5,90,80,20
1,6,80,80,20
1,7,70,70,20
1,8,60,60,20
1,9,50,50,20
1,10,40,40,20
1,11,20,20,20
1,12,20,20,20
1,13,20,20,20
1,14,20,20,20
1,15,20,20,20
1,16,40,30,20
1,17,70,60,20
1,18,80,80,20
1,19,100,80,20
1,20,100,80,20
1,21,100,80,20
1,22,100,80,20
1,23,100,80,20
2,0,100,80,20
2,1,100,80,20
2,2,100,80,20
2,3,100,80,20
2,4,100,80,20
2,5,90,80,20
2,6,70,70,20
2,7,60,60,20
2,8,50,40,20
2,9,40,30,20
2,10,30,30,20
2,11,20,20,20
2,12,20,20,20
2,13,20,20,20
2,14,20,20,20
2,15,20,20,20
2,16,30,30,20
2,17,60,50,20
2,18,80,70,20
2,19,100,80,20
2,20,100,80,20
2,21,100,80,20
2,22,100,80,20
2,23,100,80,20
3,0,100,80,20
3,1,100,80,20
3,2,100,80,20
3,3,100,80,20
3,4,100,80,20
3,5,90,80,20
3,6,70,60,20
3,7,60,50,20
3,8,50,40,20
3,9,40,30,20
3,10,30,30,20
3,11,20,20,20
3,12,20,20,20
3,13,20,20,20
3,14,20,20,20
3,15,20,20,20
3,16,30,30,20
3,17,60,50,20
3,18,80,70,20
3,19,100,80,20
3,20,100,80,20
3,21,100,80,20
3,22,100,80,20
3,23,100,80,20
4,0,100,80,20
4,1,100,80,20
4,2,100,80,20
4,3,100,80,20
4,4,100,80,20
4,5,80,70,20
4,6,60,50,20
4,7,50,40,20
4,8,40,30,20
4,9,30,20,20
4,10,20,20,20
4,11,20,20,20
4,12,20,20,20
4,13,20,20,20
4,14,20,20,20
4,15,20,20,20
4,16,30,30,20
4,17,60,50,20
4,18,80,70,20
4,19,90,80,20
4,20,100,80,20
4,21,100,80,20
4,22,100,80,20
4,23,100,80,20
5,0,100,80,20
5,1,100,80,20
5,2,100,80,20
5,3,100,80,20
5,4,90,80,20
5,5,80,70,20
5,6,50,40,20
5,7,40,30,20
5,8,30,20,20
5,9,20,20,20
5,10,20,20,20
5,11,20,20,20
5,12,20,20,20
5,13,20,20,20
5,14,20,20,20
5,15,20,20,20
5,16,30,30,20
5,17,50,40,20
5,18,70,70,20
5,19,90,80,20
5,20,100,80,20
5,21,100,80,20
5,22,100,80,20
5,23,100,80,20
6,0,100,80,20
6,1,100,80,20
6,2,100,80,20
6,3,100,80,20
6,4,80,70,20
6,5,70,60,20
6,6,40,30,20
6,7,30,30,20
6,8,20,20,20
6,9,20,20,20
6,10,20,20,20
6,11,20,20,20
6,12,20,20,20
6,13,20,20,20
6,14,20,20,20
6,15,20,20,20
6,16,30,30,20
6,17,40,30,20
6,18,60,60,20
6,19,80,70,20
6,20,100,80,20
6,21,100,80,20
6,22,100,80,20
6,23,100,80,20
7,0,100,80,20
7,1,100,80,20
7,2,100,80,20
7,3,100,80,20
7,4,80,70,20
7,5,70,60,20
7,6,40,30,20
7,7,30,20,20
7,8,20,20,20
7,9,20,20,20
7,10,20,20,20
7,11,20,20,20
7,12,20,20,20
7,13,20,20,20
7,14,20,20,20
7,15,20,20,20
7,16,30,30,20
7,17,40,30,20
7,18,60,50,20
7,19,80,70,20
7,20,100,80,20
7,21,100,80,20
7,22,100,80,20
7,23,100,80,20
8,0,100,80,20
8,1,100,80,20
8,2,100,80,20
8,3,100,80,20
8,4,90,80,20
8,5,70,60,20
8,6,50,40,20
8,7,30,30,20
8,8,20,20,20
8,9,20,20,20
8,10,20,20,20
8,11,20,20,20
8,12,20,20,20
8,13,20,20,20
8,14,20,20,20
8,15,20,20,20
8,16,30,30,20
8,17,40,30,20
8,18,60,50,20
8,19,80,70,20
8,20,100,80,20
8,21,100,80,20
8,22,100,80,20
8,23,100,80,20
9,0,100,80,20
9,1,100,80,20
9,2,100,80,20
9,3,100,80,20
9,4,90,80,20
9,5,80,70,20
9,6,70,60,20
9,7,50,40,20
9,8,30,20,20
9,9,20,20,20
9,10,20,20,20
9,11,20,20,20
9,12,20,20,20
9,13,20,20,20
9,14,20,20,20
9,15,20,20,20
9,16,30,30,20
9,17,40,30,20
9,18,70,50,20
9,19,100,80,20
9,20,100,80,20
9,21,100,80,20
9,22,100,80,20
9,23,100,80,20
10,0,100,80,20
10,1,100,80,20
10,2,100,80,20
10,3,100,80,20
10,4,100,80,20
10,5,90,80,20
10,6,80,70,20
10,7,60,50,20
10,8,40,30,20
10,9,30,20,20
10,10,20,20,20
10,11,20,20,20
10,12,20,20,20
10,13,20,20,20
10,14,20,20,20
10,15,20,20,20
10,16,30,30,20
10,17,50,40,20
10,18,90,70,20
10,19,100,80,20
10,20,100,80,20
10,21,100,80,20
10,22,100,80,20
10,23,100,80,20
11,0,100,80,20
11,1,100,80,20
11,2,100,80,20
11,3,100,80,20
11,4,100,80,20
11,5,100,80,20
11,6,90,70,20
11,7,80,60,20
11,8,60,40,20
11,9,30,30,20
11,10,20,20,20
11,11,20,20,20
11,12,20,20,20
11,13,20,20,20
11,14,20,20,20
11,15,20,20,20
11,16,40,40,20
11,17,60,50,20
11,18,90,70,20
11,19,100,80,20
11,20,100,80,20
11,21,100,80,20
11,22,100,80,20
11,23,100,80,20
12,0,100,80,20
12,1,100,80,20
12,2,100,80,20
12,3,100,80,20
12,4,100,80,20
12,5,100,80,20
12,6,90,70,20
12,7,80,60,20
12,8,70,50,20
12,9,50,40,20
12,10,30,30,20
12,11,20,20,20
12,12,20,20,20
12,13,20,20,20
12,14,20,20,20
12,15,20,20,20
12,16,40,40,20
12,17,70,60,20
12,18,100,80,20
12,19,100,80,20
12,20,100,80,20
12,21,100,80,20
12,22,100,80,20
12,23,100,80,20
